ds,ds,crashes
2020-03-16,2020-03-16,378
2020-03-17,2020-03-17,374
2020-03-18,2020-03-18,297
2020-03-19,2020-03-19,337
2020-03-20,2020-03-20,305
2020-03-21,2020-03-21,237
2020-03-22,2020-03-22,139
2020-03-23,2020-03-23,225
2020-03-24,2020-03-24,200
2020-03-25,2020-03-25,168
2020-03-26,2020-03-26,187
2020-03-27,2020-03-27,195
2020-03-28,2020-03-28,183
2020-03-29,2020-03-29,146
2020-03-30,2020-03-30,164
2020-03-31,2020-03-31,157
